iter	RMSE
0	3.339783256
1	3.325495663
2	3.310691815
3	3.293408971
4	3.276226613
5	3.262210916
6	3.259612676
7	3.245668053
8	3.228741064
9	3.212391214
10	3.195658671
11	3.179545278
12	3.163004537
13	3.146559647
14	3.133098665
15	3.116818958
16	3.103485207
17	3.089689171
18	3.077518652
19	3.063899923
20	3.05079256
21	3.037332777
22	3.023972877
23	3.010712064
24	2.995097613
25	2.982284585
26	2.966826746
27	2.955229938
28	2.940204956
29	2.927626759
30	2.916171754
31	2.903435314
32	2.888404086
33	2.873459522
34	2.858601069
35	2.846371974
36	2.834195194
37	2.822070507
38	2.807742567
39	2.795731044
40	2.781292038
41	2.76939367
42	2.755099121
43	2.743312807
44	2.732575767
45	2.718477387
46	2.706847741
47	2.695267846
48	2.681370135
49	2.667552215
50	2.657117414
51	2.645750265
52	2.635412779
53	2.625127727
54	2.61389743
55	2.603708349
56	2.590290132
57	2.576948894
58	2.563684145
59	2.553696322
60	2.543759138
61	2.532876936
62	2.519842549
63	2.508998001
64	2.498264508
65	2.488568908
66	2.475771302
67	2.466172411
68	2.453495335
69	2.442999282
70	2.432548131
71	2.420051186
72	2.410675511
73	2.398296137
74	2.388036226
75	2.377848952
76	2.368661353
77	2.35852822
78	2.349426276
79	2.339464337
80	2.329456109
81	2.319490696
82	2.309509146
83	2.299629066
84	2.287828745
85	2.278041414
86	2.268295952
87	2.258592182
88	2.248929925
89	2.239309003
90	2.229815417
91	2.218382813
92	2.208892571
93	2.200386762
94	2.190973507
95	2.182546977
96	2.171359465
97	2.162215242
98	2.151141045
99	2.141938464
100	2.132775251
101	2.121858151
102	2.111003203
103	2.101972331
104	2.092980094
105	2.084026325
106	2.073371065
107	2.064501184
108	2.053951834
109	2.043353021
110	2.035489212
111	2.026781389
112	2.016434752
113	2.007808445
114	1.997564549
115	1.989018968
116	1.980509944
117	1.972199819
118	1.963762748
119	1.955361771
120	1.947854653
121	1.937922948
122	1.929632514
123	1.919799353
124	1.911586452
125	1.901850821
126	1.893714704
127	1.885613392
128	1.877546738
129	1.869514593
130	1.859998671
131	1.850536587
132	1.841128002
133	1.833251656
134	1.823811949
135	1.816009681
136	1.809021019
137	1.801282027
138	1.792132494
139	1.783034603
140	1.77398803
141	1.764992453
142	1.756047554
143	1.749289765
144	1.742565836
145	1.73511114
146	1.727688334
147	1.718934361
148	1.711580759
149	1.702913292
150	1.695628229
151	1.687046381
152	1.680564756
153	1.6733753
154	1.6662166
155	1.657786861
156	1.650910507
157	1.643847912
158	1.636815531
159	1.629813234
160	1.62157406
161	1.614636966
162	1.606479089
163	1.599606572
164	1.591529161
165	1.584720599
166	1.577941164
167	1.571190732
168	1.565165122
169	1.557264624
170	1.549408394
171	1.542780025
172	1.536180012
173	1.528434474
174	1.521895831
175	1.515385161
176	1.508902343
177	1.501298577
178	1.493737336
179	1.486218354
180	1.479860312
181	1.474183407
182	1.46787685
183	1.462252405
184	1.455996889
185	1.448669271
186	1.441382567
187	1.435216332
188	1.429076477
189	1.421892297
190	1.415809442
191	1.410386848
192	1.403299236
193	1.397295922
194	1.390277966
195	1.384330356
196	1.378408191
197	1.372511361
198	1.366639757
199	1.360793273
200	1.354971799
201	1.34917523
202	1.343403458
203	1.336659892
204	1.330941661
205	1.324264321
206	1.318599118
207	1.311987331
208	1.30637465
209	1.300785979
210	1.295221216
211	1.288730211
212	1.282275268
213	1.276789694
214	1.271327588
215	1.265888849
216	1.260473376
217	1.255081071
218	1.249711834
219	1.244365567
220	1.238136241
221	1.232839494
222	1.227565407
223	1.222313882
224	1.217084823
225	1.211878134
226	1.20581475
227	1.200656274
228	1.195519867
229	1.189541585
230	1.184452726
231	1.179385637
232	1.174340225
233	1.169316398
234	1.163472327
235	1.158494993
236	1.153538951
237	1.147776864
238	1.142866674
239	1.137160991
240	1.132296216
241	1.127452253
242	1.122629012
243	1.117826405
244	1.113044344
245	1.10828274
246	1.103541507
247	1.098820556
248	1.094119802
249	1.089439157
250	1.084778537
251	1.080137854
252	1.075517024
253	1.070915962
254	1.066334584
255	1.061772805
256	1.057230541
257	1.052707708
258	1.048204225
259	1.043720007
260	1.039254973
261	1.03480904
262	1.030382127
263	1.025974152
264	1.021585035
265	1.017214694
266	1.01286305
267	1.008530022
268	1.00421553
269	0.9999194963
270	0.9956418408
271	0.991382485
272	0.9871413507
273	0.9829183601
274	0.9787134353
275	0.9745264993
276	0.9703574749
277	0.9662062857
278	0.9620728552
279	0.9579571076
280	0.9538589671
281	0.9497783584
282	0.9457152066
283	0.941669437
284	0.9376409752
285	0.9336297471
286	0.9296356791
287	0.9256586976
288	0.9216987298
289	0.9177557026
290	0.9138295437
291	0.909920181
292	0.9060275425
293	0.9021515566
294	0.8982921523
295	0.8944492585
296	0.8906228046
297	0.8868127202
298	0.8830189355
299	0.8792413805
300	0.8754799859
301	0.8717346825
302	0.8680054015
303	0.8642920745
304	0.860594633
305	0.8569130092
306	0.8532471353
307	0.8495969441
308	0.8459623684
309	0.8423433414
310	0.8387397966
311	0.8351516678
312	0.8315788889
313	0.8280213945
314	0.824479119
315	0.8209519973
316	0.8174399647
317	0.8139429565
318	0.8104609086
319	0.8069937568
320	0.8035414376
321	0.8001038873
322	0.7966810429
323	0.7932728414
324	0.7898792202
325	0.7865001169
326	0.7831354694
327	0.7797852159
328	0.7764492948
329	0.7731276447
330	0.7698202047
331	0.7665269139
332	0.7632477117
333	0.759982538
334	0.7567313328
335	0.7534940361
336	0.7502705887
337	0.7470609311
338	0.7438650045
339	0.74068275
340	0.7375141092
341	0.7343590238
342	0.731217436
343	0.7280892878
344	0.7249745218
345	0.7218730808
346	0.7187849078
347	0.715709946
348	0.7126481389
349	0.7095994301
350	0.7065637638
351	0.703541084
352	0.7005313353
353	0.6975344622
354	0.6945504098
355	0.6915791232
356	0.6886205477
357	0.685674629
358	0.682741313
359	0.6798205457
360	0.6769122734
361	0.6740164427
362	0.6711330004
363	0.6682618934
364	0.665403069
365	0.6625564747
366	0.6597220581
367	0.6568997672
368	0.65408955
369	0.6512913549
370	0.6485051305
371	0.6457308256
372	0.6429683891
373	0.6402177704
374	0.6374789188
375	0.634751784
376	0.6320363158
377	0.6293324645
378	0.6266401802
379	0.6239594135
380	0.6212901152
381	0.6186322361
382	0.6159857274
383	0.6133505405
384	0.6107266269
385	0.6081139384
386	0.605512427
387	0.6029220448
388	0.6003427443
389	0.5977744781
390	0.5952171989
391	0.5926708597
392	0.5901354138
393	0.5876108145
394	0.5850970154
395	0.5825939704
396	0.5801016334
397	0.5776199586
398	0.5751489005
399	0.5726884135
400	0.5702384525
401	0.5677989724
402	0.5653699284
403	0.5629512758
404	0.5605429703
405	0.5581449675
406	0.5557572233
407	0.5533796939
408	0.5510123356
409	0.5486551049
410	0.5463079583
411	0.5439708529
412	0.5416437456
413	0.5393265937
414	0.5370193545
415	0.5347219857
416	0.5324344451
417	0.5301566905
418	0.5278886802
419	0.5256303725
420	0.5233817257
421	0.5211426987
422	0.5189132503
423	0.5166933394
424	0.5144829253
425	0.5122819674
426	0.5100904251
427	0.5079082583
428	0.5057354268
429	0.5035718906
430	0.5014176101
431	0.4992725456
432	0.4971366576
433	0.495009907
434	0.4928922546
435	0.4907836616
436	0.4886840891
437	0.4865934986
438	0.4845118516
439	0.4824391099
440	0.4803752354
441	0.4783201902
442	0.4762739364
443	0.4742364365
444	0.472207653
445	0.4701875487
446	0.4681760864
447	0.4661732291
448	0.46417894
449	0.4621931825
450	0.4602159201
451	0.4582471164
452	0.4562867353
453	0.4543347406
454	0.4523910966
455	0.4504557675
456	0.4485287177
457	0.4466099119
458	0.4446993147
459	0.442796891
460	0.440902606
461	0.4390164246
462	0.4371383124
463	0.4352682347
464	0.4334061572
465	0.4315520456
466	0.429705866
467	0.4278675843
468	0.4260371668
469	0.4242145798
470	0.4223997898
471	0.4205927636
472	0.4187934677
473	0.4170018693
474	0.4152179353
475	0.413441633
476	0.4116729297
477	0.4099117929
478	0.4081581902
479	0.4064120895
480	0.4046734586
481	0.4029422656
482	0.4012184786
483	0.3995020659
484	0.3977929961
485	0.3960912377
486	0.3943967593
487	0.39270953
488	0.3910295187
489	0.3893566944
490	0.3876910265
491	0.3860324843
492	0.3843810373
493	0.3827366552
494	0.3810993078
495	0.379468965
496	0.3778455968
497	0.3762291733
498	0.3746196649
499	0.373017042
500	0.3714212751
501	0.3698323349
502	0.3682501922
503	0.3666748179
504	0.365106183
505	0.3635442588
506	0.3619890164
507	0.3604404274
508	0.3588984633
