iter	Passed	Remaining
0	133	133718
1	133	66850
2	134	44541
3	134	33389
4	134	26698
5	134	22240
6	134	19051
7	134	16663
8	134	14805
9	134	13316
10	134	12099
11	134	11084
12	134	10226
13	134	9500
14	134	8864
15	135	8349
16	135	7856
17	135	7415
18	135	7021
19	136	6666
20	136	6346
21	136	6054
22	136	5787
23	136	5542
24	136	5317
25	136	5110
26	136	4918
27	136	4740
28	136	4573
29	136	4419
30	136	4274
31	136	4138
32	136	4011
33	136	3891
34	137	3777
35	137	3671
36	137	3570
37	137	3475
38	137	3383
39	137	3298
40	137	3215
41	137	3137
42	137	3062
43	137	2992
44	137	2924
45	137	2859
46	137	2797
47	138	2737
48	138	2679
49	138	2624
50	138	2571
51	138	2521
52	138	2472
53	138	2425
54	139	2388
55	139	2348
56	139	2307
57	139	2268
58	139	2229
59	140	2196
60	140	2159
61	140	2124
62	141	2097
63	141	2066
64	141	2033
65	141	2002
66	141	1972
67	141	1944
68	142	1916
69	142	1888
70	142	1861
71	142	1834
72	142	1811
73	142	1786
74	142	1762
75	143	1740
76	143	1718
77	143	1696
78	143	1674
79	143	1652
80	143	1633
81	144	1613
82	144	1594
83	144	1577
84	144	1558
85	144	1539
86	145	1521
87	145	1504
88	145	1487
89	145	1471
90	145	1454
91	145	1438
92	145	1422
93	146	1408
94	146	1394
95	146	1379
96	146	1366
97	146	1351
98	147	1338
99	147	1325
100	147	1312
101	147	1299
102	147	1286
103	147	1274
104	148	1261
105	148	1249
106	148	1237
107	148	1225
108	148	1214
109	148	1202
110	148	1191
111	149	1181
112	149	1172
113	149	1161
114	149	1151
115	149	1141
116	150	1132
117	150	1122
118	150	1113
119	150	1104
120	150	1094
121	150	1085
122	151	1076
123	151	1067
124	151	1059
125	151	1050
126	151	1043
127	151	1035
128	152	1026
129	152	1018
130	152	1010
131	152	1003
132	152	995
133	152	987
134	152	979
135	153	973
136	153	966
137	153	959
138	153	951
139	153	944
140	153	937
141	153	930
142	154	923
143	154	917
144	154	910
145	154	904
146	154	897
147	154	891
148	154	884
149	155	879
150	155	872
151	155	867
152	155	861
153	155	855
154	155	850
155	156	844
156	156	838
157	156	833
158	156	828
159	156	823
160	156	817
161	157	812
162	157	807
163	157	802
164	157	797
165	157	792
166	157	787
167	158	782
168	158	778
169	158	773
170	158	768
171	158	764
172	158	759
173	159	754
174	159	750
175	159	745
176	159	741
177	159	737
178	159	732
179	159	728
180	160	724
181	160	720
182	160	716
183	160	712
184	160	707
185	160	704
186	161	700
187	161	695
188	161	692
189	161	688
190	161	684
191	161	680
192	161	676
193	161	672
194	162	669
195	162	665
196	162	662
197	162	658
198	162	655
199	162	651
200	163	648
201	163	645
202	163	641
203	163	638
204	163	634
205	163	631
206	164	628
207	164	624
208	164	621
209	164	618
210	164	615
211	164	612
212	164	609
213	165	606
214	165	603
215	165	600
216	165	597
217	165	594
218	165	591
219	166	589
220	166	586
221	166	583
222	166	580
223	166	577
224	166	574
225	167	572
226	167	569
227	167	567
228	167	564
229	167	561
230	167	558
231	168	556
232	168	553
233	168	551
234	168	548
235	168	546
236	168	543
237	169	541
238	169	539
239	169	536
240	169	534
241	169	532
242	170	529
243	170	527
244	170	525
245	170	523
246	170	520
247	171	518
248	171	516
249	171	514
250	171	512
251	171	510
252	172	507
253	172	505
254	172	504
255	172	501
256	172	499
257	173	497
258	173	495
259	173	493
260	173	491
261	173	489
262	173	487
263	174	485
264	174	483
265	174	481
266	174	479
267	174	477
268	175	475
269	175	473
270	175	471
271	175	469
272	175	467
273	175	465
274	175	463
275	176	462
276	176	460
277	176	458
278	176	456
279	176	454
280	177	452
281	177	451
282	177	449
283	177	447
284	177	445
285	177	443
286	177	442
287	178	440
288	178	438
289	178	436
290	178	435
291	178	433
292	178	431
293	179	430
294	179	428
295	179	426
296	179	425
297	179	423
298	180	422
299	180	420
300	180	418
301	180	417
302	180	415
303	180	414
304	181	412
305	181	410
306	181	409
307	181	408
308	181	406
309	182	405
310	182	403
311	182	402
312	182	400
313	182	399
314	182	397
315	183	396
316	183	394
317	183	393
318	183	392
319	183	390
320	184	389
321	184	387
322	184	386
323	184	385
324	184	383
325	184	382
326	185	380
327	185	379
328	185	378
329	185	376
330	185	375
331	186	374
332	186	373
333	186	371
334	186	370
335	186	369
336	186	367
337	187	366
338	187	365
339	187	364
340	187	362
341	188	361
342	188	360
343	188	359
344	188	358
345	188	356
346	189	355
347	189	354
348	189	353
349	189	352
350	189	351
351	190	349
352	190	348
353	190	347
354	190	346
355	190	345
356	191	344
357	191	342
358	191	341
359	191	340
360	191	339
361	192	338
362	192	337
363	192	336
364	192	335
365	192	334
366	193	333
367	193	332
368	193	331
369	193	329
370	193	328
371	194	327
372	194	326
373	194	325
374	194	324
375	194	323
376	195	322
377	195	321
378	195	320
379	195	319
380	195	318
381	196	317
382	196	316
383	196	315
384	196	314
385	196	313
386	197	312
387	197	311
388	197	310
389	197	309
390	197	308
391	198	307
392	198	306
393	198	305
394	198	304
395	198	303
396	199	302
397	199	301
398	199	300
399	199	299
400	199	298
401	200	297
402	200	296
403	200	295
404	200	294
405	200	293
406	201	292
407	201	291
408	201	290
409	201	290
410	201	289
411	201	288
412	201	287
413	202	286
414	202	285
415	202	284
416	202	283
417	203	282
418	203	281
419	203	280
420	203	280
421	203	279
422	204	278
423	204	277
424	204	276
425	204	275
426	204	274
427	205	273
428	205	273
429	205	272
430	205	271
431	205	270
432	206	269
433	206	269
